Screen Size,RAM,Operating System Version,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation,x_res,y_res,isApple,isTouchScreen,cpuSpeed,cpu_tier,ssd_gb,hdd_gb,gpu_power,has_dgpu,isMac
12.5,8,10.0,0.97,16.700785404202037,0,0,0,0,1,0,3840,2160,0,1,2.0,0,512.0,0.0,0.0,0,0
15.6,4,10.0,2.0,14.933549259377894,0,0,0,1,0,0,1920,1080,0,0,1.0,1,0.0,1024.0,0.0,0,0
17.3,16,10.0,2.9,16.708205670336532,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,1024.0,4.0,1,0
15.6,4,10.0,2.1,15.19546612128742,0,0,0,1,0,0,1366,768,0,0,2.0,2,0.0,1024.0,0.0,0,0
15.6,16,10.0,2.56,16.223214020101047,0,1,0,0,0,0,1920,1080,0,0,8.0,4,512.0,0.0,4.0,1,0
15.6,8,10.0,2.62,15.89419043465096,0,1,0,0,0,0,1920,1080,0,0,8.0,4,0.0,0.0,4.0,1,0
15.6,4,10.0,1.9,15.30350757793329,0,0,0,1,0,0,1366,768,0,0,5.0,3,128.0,0.0,0.0,0,0
17.3,16,10.0,2.8,16.637239442640755,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,1024.0,4.0,1,0
14.0,4,10.0,1.48,16.079473838428253,0,0,0,0,1,0,1920,1080,0,0,7.0,3,256.0,0.0,0.0,0,0
15.6,6,10.0,1.91,15.521012729449827,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
14.0,4,10.0,1.74,15.53703871057726,1,0,0,0,0,0,1920,1080,0,1,4.0,2,256.0,0.0,0.0,0,0
13.3,8,10.0,1.1,16.274499305217347,1,0,0,0,0,0,1920,1080,0,1,6.0,3,256.0,0.0,0.0,0,0
15.6,8,10.0,1.56,16.04849999068785,1,0,0,0,0,0,1920,1080,0,1,8.0,4,256.0,0.0,0.0,0,0
15.6,4,10.0,2.1,15.19546612128742,0,0,0,1,0,0,1366,768,0,0,2.0,2,0.0,500.0,0.0,0,0
15.6,4,10.0,2.03,15.091844116089389,0,0,0,1,0,0,1366,768,0,0,3.0,0,0.0,1024.0,0.0,0,0
17.3,4,10.0,3.0,15.783749692205298,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,2.0,1,0
15.6,8,10.0,2.13,15.68320847775966,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
15.6,16,10.0,2.5,16.076697344568945,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,0.0,4.0,1,0
15.6,4,10.0,2.1,14.945110078021264,0,0,0,1,0,0,1366,768,0,0,1.0,1,0.0,1024.0,0.0,0,0
15.6,16,10.0,2.4,16.58789357154748,0,1,0,0,0,0,1920,1080,0,0,8.0,4,256.0,1024.0,4.0,1,0
15.6,4,10.0,2.1,14.988714391369845,0,0,0,1,0,0,1366,768,0,0,1.0,1,0.0,1024.0,0.0,0,0
15.6,8,10.0,2.56,16.0593937255759,0,1,0,0,0,0,1920,1080,0,0,8.0,4,128.0,1024.0,4.0,1,0
17.3,8,10.0,3.0,15.84283860055958,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,2.0,1,0
13.3,4,10.0,1.49,15.718299792244071,0,0,0,1,0,0,1920,1080,0,0,6.0,3,0.0,500.0,0.0,0,0
13.0,8,10.0,1.05,16.30002621465777,0,0,0,0,1,0,2160,1440,0,0,5.0,3,256.0,0.0,0.0,0,0
17.3,6,10.0,2.71,15.64255817820578,0,0,0,1,0,0,1920,1080,0,0,5.0,3,0.0,2048.0,0.0,0,0
15.6,4,10.0,2.2,14.826248915932052,0,0,0,1,0,0,1366,768,0,0,9.0,0,0.0,500.0,0.0,0,0
15.6,4,10.0,2.0,15.285269994539789,0,0,0,1,0,0,1366,768,0,0,4.0,2,0.0,500.0,0.0,0,0
17.3,8,10.0,2.5,15.920536631429444,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,2.0,1,0
15.6,8,10.0,2.3,15.221957730156888,0,0,0,1,0,0,1366,768,0,0,4.0,2,0.0,1024.0,0.0,0,0
15.6,4,10.0,2.1,15.19993041329544,0,0,0,1,0,0,1366,768,0,0,2.0,2,128.0,0.0,0.0,0,0
18.4,32,10.0,4.4,17.029924804778403,0,1,0,0,0,0,1920,1080,0,0,9.0,4,512.0,1024.0,3.0,1,0
15.6,8,10.0,1.9,15.793638522959856,0,0,0,1,0,0,1920,1080,0,0,5.0,3,128.0,1024.0,0.0,0,0
13.3,8,10.0,1.29,16.405460848210456,1,0,0,0,0,0,3840,2160,0,1,6.0,3,256.0,0.0,0.0,0,0
15.6,16,10.0,2.02,16.04849999068785,0,0,0,1,0,0,1920,1080,0,0,8.0,4,256.0,2048.0,0.0,0,0
13.3,8,10.0,1.23,16.33642033013601,0,0,0,0,1,0,1920,1080,0,0,6.0,3,256.0,0.0,0.0,0,0
13.9,16,10.0,1.4,16.615307567293623,1,0,0,0,0,0,3840,2160,0,1,8.0,4,512.0,0.0,0.0,0,0
15.6,8,10.0,2.0,15.76873063853562,0,0,0,1,0,0,1366,768,0,0,5.0,3,128.0,0.0,0.0,0,0
15.6,8,10.0,1.95,16.18215052390696,0,0,0,1,0,0,1920,1080,0,0,6.0,3,256.0,0.0,2.0,1,0
17.3,16,10.0,2.77,16.438272188103046,0,0,0,1,0,0,1920,1080,0,1,8.0,4,512.0,0.0,2.0,1,0
15.6,16,10.0,2.06,16.874880556435716,0,0,0,1,0,0,3840,2160,0,1,8.0,4,512.0,0.0,4.0,1,0
15.6,8,10.0,2.4,15.750918465320217,0,1,0,0,0,0,1920,1080,0,0,5.0,3,256.0,0.0,4.0,1,0
13.3,8,10.0,1.12,15.989601720418255,0,0,0,0,1,0,1920,1080,0,0,2.0,3,256.0,0.0,0.0,0,0
17.3,8,10.0,2.8,16.082242644709,0,0,0,1,0,0,1920,1080,0,0,8.0,4,128.0,1024.0,0.0,0,0
14.0,16,10.0,1.42,17.038816913520392,1,0,0,0,0,0,2560,1440,0,1,7.0,4,1024.0,0.0,0.0,0,0
14.0,4,10.0,1.3,14.65358933864044,0,0,0,1,0,0,1920,1080,0,0,1.0,1,0.0,0.0,0.0,0,0
13.3,8,10.0,1.3,16.00056266153777,0,0,0,0,1,0,1920,1080,0,0,5.0,3,256.0,0.0,2.0,1,0
17.3,8,10.0,2.8,15.64112653896484,0,0,0,1,0,0,1600,900,0,0,6.0,3,256.0,0.0,2.0,1,0
13.3,8,10.0,1.62,15.82511811559257,1,0,0,0,0,0,1920,1080,0,1,8.0,4,0.0,1024.0,0.0,0,0
